,,,,,,,,,mm,mm,mm,mm,mm,,,cm^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,NAME,DIM1 ,DIM2,DIM3,SHAPE_TYPE,MASS,SURF,H,B,EA,ES,RA,RS,GAP,SX,SY,SZ,IX,IY,IZ,IOMEGA,VY,VPY,VZ,VPZ,MSY,MSZ,TORS,SHEAR_QY,SHEAR_QZ,GAMMA,SYMBOL,A_1,A_2,HAS_MATS,IS_THIN,MATERIALS,POINTS,B_2,ES_2,P1_L,P1_T,P2_L,P2_T,P3_L,P3_T,P4_L,P4_T,NAME1,NAME_REVIT,IYn,IYb
,2345,HW,100,100,0,13,16.9,0.574,100,100,6,8,8,0,0,2159,1600,600,40181.3333,3781227,1341410.257,0,50,50,50,50,84184,40756,5094.5,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 100x100x0,HW 100x100x0,3781226.89,3781226.89
,2346,HW,125,125,0,13,23.6,0.723,125,125,6.5,9,8,0,0,3000,2250,813,70544.9583,8396572,2938957.67,0,62.5,62.5,62.5,62.5,149104.625,71442.6875,7938.076389,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 125x125x0,HW 125x125x0,8396571.812,8396571.812
,2347,HW,150,150,0,13,31.1,0.872,150,150,7,10,8,0,0,3965,3000,1050,114863.3333,16228012,5635800.639,0,75,75,75,75,239575,114092.5,11409.25,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 150x150x0,HW 150x150x0,16228011.6,16228011.6
,2348,HW,175,175,0,13,40.4,1.013,175,175,7.5,11,13,0,0,5143,3850,1313,176798.9583,28963729,9871973.155,0,87.5,87.5,87.5,87.5,359591.875,170589.0625,15508.09659,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 175x175x0,HW 175x175x0,28963729.38,28963729.38
,2349,HW,200,200,0,13,49.9,1.162,200,200,8,12,13,0,0,6353,4800,1600,260437.3333,47168689,16049596.16,0,100,100,100,100,513152,242816,20234.66667,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 200x200x0,HW 200x200x0,47168689.17,47168689.17
,2350,HW,200,200,1,13,56.2,1.170,200,204,12,12,13,0,0,7153,4896,2400,336384.0000,50058436,17055518.91,0,102,102,100,100,553152,256032,21336,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 200x200x1,HW 200x200x1,50058435.84,50058435.84
,2351,HW,250,250,0,13,63.8,1.452,244,252,11,11,13,0,0,8131,5544,2684,322102.0000,87614085,29412019.58,0,126,126,122,122,781407,355987.5,32362.5,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 250x250x0,HW 250x250x0,87614085.39,87614085.39
,2352,HW,250,250,1,13,71.8,1.460,250,250,9,14,13,0,0,9143,7000,2250,511279.3333,107496503,36515987.87,0,125,125,125,125,936889,441995.5,31571.10714,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 250x250x1,HW 250x250x1,107496502.7,107496502.7
,2353,HW,250,250,2,13,81.6,1.470,250,255,14,14,13,0,0,10393,7140,3500,669536.0000,114364354,38796301.16,0,127.5,127.5,125,125,1015014,466053,33289.5,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 250x250x2,HW 250x250x2,114364354.4,114364354.4
,2354,HW,300,300,0,13,83.5,1.750,294,302,12,12,13,0,0,10633,7248,3528,503424.0000,167117869,55176942.91,0,151,151,147,147,1240668,556944,46412,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 300x300x0,HW 300x300x0,167117869.4,167117869.4
,2355,HW,300,300,1,13,93.0,1.758,300,300,10,15,13,0,0,11845,9000,3000,765000.0000,201872161,67568821.79,0,150,150,150,150,1464750,681750,45450,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 300x300x1,HW 300x300x1,201872161.4,201872161.4
,2356,HW,300,300,2,13,104.8,1.768,300,305,15,15,13,0,0,13345,9150,4500,990000.0000,213560716,71065678.59,0,152.5,152.5,150,150,1577250,712875,47525,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 300x300x2,HW 300x300x2,213560716.4,213560716.4
,2357,HW,350,350,0,13,104.6,2.032,338,351,13,13,13,0,0,13327,9126,4394,742586.0000,278770098,93804700.77,0,175.5,175.5,169,169,1799343,813988.5,62614.5,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 350x350x0,HW 350x350x0,278770097.7,278770097.7
,2358,HW,350,350,1,13,113.0,2.038,344,348,10,16,13,0,0,14401,11136,3440,1054272.0000,328881313,112456833.8,0,174,174,172,172,2069664,976632,61039.5,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 350x350x1,HW 350x350x1,328881312.7,328881312.7
,2359,HW,350,350,2,13,129.3,2.050,344,354,16,16,13,0,0,16465,11328,5504,1392640.0000,349855673,118465567.6,0,177,177,172,172,2247168,1022496,63906,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 350x350x2,HW 350x350x2,349855672.7,349855672.7
,2360,HW,350,350,3,13,134.9,2.054,350,350,12,19,13,0,0,17189,13300,4200,1780145.3333,398475258,135866608.2,0,175,175,175,175,2493182,1174982,61841.15789,0,0,0,,0,0,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,HW 350x350x3,HW 350x350x3,398475258,398475258
